code_id,code_path,code_type,input_code,docstrings,critique,fields_correct,word_count_correct,line_numbers_correct,accuracy_score,coverage_score,clarity_score,process_time,input_tokens,output_tokens,code_name
0,../code_database/testing/leetcode/can_permute_palindrome.py,leetcode,"
        <input_code>
        1 from collections import defaultdict
2 
3 class Solution(object):
4     def canPermutePalindrome(self, s):
5 
6         len_s = len(s)
7 
8         if len_s == 1:
9             return True
10 
11         H = defaultdict(int)
12 
13         for i in range(len_s):
14             H[s[i]] += 1
15 
16         even_letters = 0
17         for k,v in H.items():
18             if v%2 == 0:
19                 even_letters += 1
20 
21         if even_letters >= len(H) - 1:
22             return True
23         else:
24             return False

        <input_code>
        ","--------------------
Line number: 4
Object name: canPermutePalindrome

Docstring:

Checks if a given string can be rearranged to form a palindrome.  It counts the frequency of each character. If the number of characters with odd counts is at most 1, the string can be permuted to form a palindrome. 

Args:
    s (str): The input string.

Returns:
    bool: True if the string can be rearranged to form a palindrome, False otherwise.
",The docstring accurately describes the algorithm's logic and purpose. It correctly specifies input/output types and has good coverage of the function's behavior. The explanation is clear and concise.,True,True,True,1,1,1,3.5236048698425293,2643,120,can_permute_palindrome.py
1,../code_database/testing/leetcode/shortest_form_string.py,leetcode,"
        <input_code>
        1 class Solution:
2     def shortestWay(self, source, target):
3 
4         i = 0
5         answer = 0
6         while i < len(target):
7             can_form = False
8 
9             # for every char in target, see if its in source
10             for ch in source:
11                 # Can form a minimum subsequence of target
12                 if ch == target[i]:
13                     can_form = True
14                     i += 1
15                     if i == len(target):
16                         return answer + 1
17 
18             if can_form:
19                 answer += 1
20             # Couldn't form a subsequence, return early.
21             else:
22                 return -1

        <input_code>
        ","--------------------
Line number: 2
Object name: shortestWay

Docstring:

Finds the shortest way to form the target string from the source string. 

The function iterates through the target string and checks if each character can be found in the source string. If a character is found, it increments the counter and moves to the next character in the target string. If a character is not found, it returns -1. Otherwise, it returns the number of subsequences needed to form the target string.

Args:
    source (str): The source string.
    target (str): The target string.

Returns:
    int: The shortest way to form the target string from the source string, or -1 if it's impossible.
","The docstring is accurate but could be clearer about what ""shortest way"" means - it should explain that it's finding the minimum number of subsequences needed. Otherwise good coverage and accuracy.",True,True,True,1,1,0,3.480379819869995,2688,121,shortest_form_string.py
2,../code_database/testing/leetcode/palindrome_number.py,leetcode,"
        <input_code>
        1 class Solution:
2     def isPalindrome(self, x):
3 
4         str_x = str(x)
5         p0 = 0
6         p1 = len(str_x)-1
7 
8         while p0 < p1:
9             if str_x[p0] != str_x[p1]:
10                 return False
11             p0 += 1
12             p1 -= 1
13 
14         return True

        <input_code>
        ","--------------------
Line number: 2
Object name: isPalindrome

Docstring:

Checks if the integer x is a palindrome.  The function converts the integer to a string, then uses two pointers to compare characters from the beginning and end, moving towards the middle. It returns True if the integer is a palindrome, and False otherwise.

Args:
    x (int): The integer to check.

Returns:
    bool: True if x is a palindrome, False otherwise.
","The docstring accurately describes the two-pointer approach, includes correct args/returns, and provides sufficient detail for understanding. The Solution class doesn't need a docstring.",True,True,True,1,1,1,3.4808828830718994,2567,116,palindrome_number.py
3,../code_database/testing/leetcode/campus_bikes.py,leetcode,"
        <input_code>
        1 import heapq
2 
3 class Solution(object):
4     def assignBikes(self, workers, bikes):
5 
6         bike_distances = []
7         heap = []
8         for i, worker in enumerate(workers):
9             curr_worker_pairs = []
10             for j, bike in enumerate(bikes):
11                 # get all the pairs i->j and j->i
12                 curr_worker_pairs.append((self.distance(worker,bike),i,j))
13 
14             # sort so that we can pop this to get the closest distance
15             curr_worker_pairs.sort(reverse=True)
16             # add closest bike to this worker to the heap
17             heapq.heappush(heap,curr_worker_pairs.pop())
18             # store remaining options for this worker in a list
19             bike_distances.append(curr_worker_pairs)
20 
21         # keep track of which worker is assigned to bikes
22         bike_status = [False]*len(bikes)
23         # keep track of which bike is assigned to each worker
24         worker_status = [None]*len(workers)
25 
26         while heap:
27             # get shortest distance
28             distince, worker, bike = heapq.heappop(heap)
29 
30             # if that bike is not taken, take it
31             if not bike_status[bike]:
32                 bike_status[bike] = True
33                 worker_status[worker] = bike
34             # get the next closest bike
35             else:
36                 next_closest_bike = bike_distances[worker].pop()
37                 heapq.heappush(heap,next_closest_bike)
38 
39         return worker_status
40 
41         print(bike_distances)
42 
43         res = []
44         while bike_distances:
45             res.append(heapq.heappop(bike_distances)[1:])
46         return res
47 
48     @staticmethod
49     def distance(worker,bike):
50 
51         return abs(worker[0]-bike[0]) + abs(worker[1]-bike[1])

        <input_code>
        ","--------------------
Line number: 4
Object name: assignBikes

Docstring:

Assigns bikes to workers to minimize the total distance traveled.  The function uses a min-heap to efficiently find the closest bike for each worker, iteratively assigning bikes and handling conflicts. It returns a list indicating which bike is assigned to each worker.

Args:
    workers (List[List[int]]): A list of worker coordinates, each represented as [x, y].
    bikes (List[List[int]]): A list of bike coordinates, each represented as [x, y].

Returns:
    List[int]: A list where the i-th element represents the index of the bike assigned to worker i.
--------------------
Line number: 49
Object name: distance

Docstring:

Calculates the Manhattan distance between two points.

Args:
    worker (List[int]): Coordinates of the worker [x, y].
    bike (List[int]): Coordinates of the bike [x, y].

Returns:
    int: The Manhattan distance between the worker and the bike.
",The docstrings are accurate and clear but there's a significant issue with the code coverage. The Solution class itself should have a docstring explaining the bike assignment optimization problem.,True,False,True,1,0,1,3.1290857791900635,3108,117,campus_bikes.py
4,../code_database/testing/leetcode/pow.py,leetcode,"
        <input_code>
        1 class Solution:
2     def myPow(self, x: float, n: int) -> float:
3 
4         """"""
5         binary exponentiation
6 
7         x^n = (x^2)^(n//2)
8         so we can take advantage of this to make it faster than just keep multiplying by x
9 
10         while n != 0
11             if n is odd, multiply result by x and reduce n by 1
12             if n is even, square x and reduce n by a factor of 2
13 
14         why do we square x, because x^n = (x^2)^(n//2)
15         and we will eventually get to a situation where n == 1 so we will multiply the
16         res by the value of x
17 
18         if n < 0
19             set n = -1*n
20             x = 1/
21         Can do iteratively or recusively. Will probably do it iteratively
22         """"""
23 
24         res = 1
25         while n != 0:
26 
27             if n < 0:
28                 n = -1*n
29                 x = 1/x
30 
31             if n % 2 == 1:
32                 res *= x
33                 n -= 1
34             else:
35                 # binary exponentiation
36                 x = x**2
37                 # divide n by 2 since we are using x^n = (x^2)^(n//2)
38                 n = n//2
39 
40         return res

        <input_code>
        ","--------------------
Line number: 2
Object name: myPow

Docstring:

Calculates x raised to the power of n efficiently using binary exponentiation.  Binary exponentiation is an algorithm that computes x^n by repeatedly squaring x and reducing n. This approach significantly improves efficiency compared to simple iterative multiplication, especially for large values of n.

Args:
    x (float): The base number.
    n (int): The exponent.

Returns:
    float: x raised to the power of n.
","The docstring accurately describes binary exponentiation and its efficiency benefits. It correctly specifies args and returns. However, it could mention handling of negative exponents for completeness.",True,True,True,1,1,1,3.1965718269348145,2849,118,pow.py
5,../code_database/testing/leetcode/next_permutation.py,leetcode,"
        <input_code>
        1 class Solution:
2     def nextPermutation(self, nums: List[int]) -> None:
3 
4         def swap(nums,p1,p2):
5             nums[p1], nums[p2] = nums[p2], nums[p1]
6 
7         def reverse(nums,start):
8 
9             p0 = len(nums) - 1
10             p1 = start
11             while p0 > p1:
12                 swap(nums,p0,p1)
13                 p0 -= 1
14                 p1 += 1
15 
16         p1 = len(nums) - 2
17         # count backwards until we fid that nums[p1] < nums[p1+1]
18         #[5,4,3,2,1] -> decreasing order so no next permutation, just sort
19         # first we count back until we fnd an element thats smaller than p+1
20         # then we count back again until we find the first element thats larger than the above
21         # then we swap them
22         # then we reverse the remainder of the array
23         #[1,5,8,4,7,6,5,3,1] -> [1,5,8,5,7,6,4,3,1] -> [1,5,8,5,1,3,4,6,7]
24 
25         while p1 >= 0 and (nums[p1] >= nums[p1+1]):
26             p1 -= 1
27 
28         if p1 >= 0:
29             p2 = len(nums) - 1
30             # count backwards util we find nums[p2] > nums[p1]
31             while nums[p2] <= nums[p1]:
32                 p2 -= 1
33             swap(nums,p1,p2)
34 
35         reverse(nums,p1+1)

        <input_code>
        ","--------------------
Line number: 4
Object name: swap

Docstring:

Swaps two elements in a list.

Args:
    nums (list): The list of numbers.
    p1 (int): The index of the first element.
    p2 (int): The index of the second element.

Returns:
    None: This function modifies the list in-place.
--------------------
Line number: 7
Object name: reverse

Docstring:

Reverses a portion of a list.

Args:
    nums (list): The list of numbers.
    start (int): The starting index of the portion to reverse.

Returns:
    None: This function modifies the list in-place.
--------------------
Line number: 2
Object name: nextPermutation

Docstring:

Finds the lexicographically next greater permutation of a list of numbers.

Args:
    nums (List[int]): A list of integers.

Returns:
    None: This function modifies the input list in-place.
","The docstrings are accurate, clear and concise. They correctly document the helper functions and main algorithm. While the nextPermutation docstring could mention the algorithm steps, it's not strictly necessary since the code comments explain the logic.",True,False,True,1,1,1,3.503561019897461,3056,130,next_permutation.py
6,../code_database/testing/leetcode/timelimit.js,leetcode,"
        <input_code>
        1 var timeLimit = function(fn, t) {
2   return async function(...args) {
3     return new Promise((resolve, reject) => {
4       setTimeout(() => {
5         reject(""Time Limit Exceeded"");
6       }, t);
7       fn(...args).then(resolve).catch(reject);
8     })
9   }
10 };

        <input_code>
        ",No docstrings,"This is JavaScript code, not Python. Since it's not Python code, having no docstrings is the correct approach. The evaluation criteria are therefore all met.",True,True,True,1,1,1,2.661065101623535,2439,115,timelimit.js
7,../code_database/testing/leetcode/trapping_rainwater.py,leetcode,"
        <input_code>
        1 class Solution:
2     def trap(self, height: List[int]) -> int:
3         max_left_arr = [0]*len(height)
4         max_right_arr = [0]*len(height)
5 
6         max_left = 0
7         for i in range(len(height)):
8             max_left = max(height[i],max_left)
9             max_left_arr[i] = max_left
10 
11         max_right = 0
12         for i in range(len(height)-1,-1,-1):
13             max_right = max(height[i],max_right)
14             max_right_arr[i] = max_right
15 
16         # now we have to find the min from both sides
17         sum_water = 0
18         for i in range(len(height)):
19             sum_water += max(min(max_left_arr[i],max_right_arr[i])-height[i],0)
20 
21         return sum_water

        <input_code>
        ","--------------------
Line number: 2
Object name: trap

Docstring:

Calculates the total amount of rainwater that can be trapped within a histogram represented by the input array `height`. It uses two arrays to store the maximum height to the left and right of each bar, then iterates through the array to calculate the trapped water for each bar. The function returns the total trapped water. 

Args:
    height (List[int]): A list of integers representing the height of each bar in the histogram.

Returns:
    int: The total amount of trapped rainwater.
","The docstring is accurate but could be clearer by mentioning this is a classic ""trapping rain water"" problem and explaining the core idea that water trapped at each position depends on min(max_left, max_right). Coverage is complete.",True,False,True,1,1,0,3.078896999359131,2718,133,trapping_rainwater.py
8,../code_database/testing/leetcode/max_avg_subtree.py,leetcode,"
        <input_code>
        1 # Definition for a binary tree node.
2 class TreeNode(object):
3     def __init__(self, val=0, left=None, right=None):
4         self.val = val
5         self.left = left
6         self.right = right
7 
8 class Solution(object):
9     def maximumAverageSubtree(self, root):
10         def traverse(node):
11 
12             if not node:
13                 return (0,0,0)
14 
15             left_count, left_sum , left_avg = traverse(node.left)
16             right_count, right_sum , right_avg = traverse(node.right)
17 
18             total_count = float(left_count + right_count + 1)
19             total_sum = float(left_sum + right_sum + node.val)
20             max_avg = max(total_sum/total_count,max(left_avg,right_avg))
21 
22             return (total_count,total_sum,max_avg)
23 
24 
25         res = traverse(root)
26         return res[-1]
27 

        <input_code>
        ","--------------------
Line number: 2
Object name: TreeNode

Docstring:

Represents a node in a binary tree.

Args:
    val (int, optional): The value of the node. Defaults to 0.
    left (TreeNode, optional): The left child node. Defaults to None.
    right (TreeNode, optional): The right child node. Defaults to None.
--------------------
Line number: 10
Object name: traverse

Docstring:

Performs a depth-first traversal of the binary tree to calculate the maximum average of subtrees.

Args:
    node (TreeNode): The current node being visited.

Returns:
    tuple: A tuple containing the total count of nodes, the total sum of node values, and the maximum average of subtrees encountered so far.
--------------------
Line number: 9
Object name: maximumAverageSubtree

Docstring:

Calculates the maximum average value of a subtree within a given binary tree.

Args:
    root (TreeNode): The root node of the binary tree.

Returns:
    float: The maximum average value among all subtrees.
","The docstrings are accurate, clear and cover all necessary components. The TreeNode class docstring is appropriate for a data structure class. The traverse and maximumAverageSubtree functions are well documented with correct args/returns.",True,False,True,1,1,1,3.0642030239105225,2881,131,max_avg_subtree.py
9,../code_database/testing/leetcode/high_five.py,leetcode,"
        <input_code>
        1 from collections import defaultdict
2 import heapq
3 
4 class Solution(object):
5     def highFive(self, items):
6 
7         H = defaultdict(list)
8         for element in items:
9             H[element[0]].append(-element[1])
10 
11         op = []
12         for k,v in H.items():
13             heapq.heapify(v)
14             count = 0
15             sum_max = 0
16             while v and count<5:
17                 max_val = -heapq.heappop(v)
18                 sum_max += max_val
19                 count += 1
20             op.append([k,sum_max//count])
21 
22         return op

        <input_code>
        ","--------------------
Line number: 5
Object name: highFive

Docstring:

This function calculates the average of the top 5 scores for each student. It uses a defaultdict to store student IDs as keys and their scores as values. A min-heap is used to efficiently find the top 5 scores for each student. The function returns a list of lists, where each inner list contains a student ID and their average of top 5 scores.

Args:
    items (List[List[int]]): A list of lists, where each inner list contains a student ID and their score.

Returns:
    List[List[int]]: A list of lists, where each inner list contains a student ID and their average of top 5 scores.
","The docstring accurately describes the algorithm, parameters and return values. It explains the key data structures used (defaultdict and heap) and provides clear input/output formats. No missing components.",True,False,True,1,1,1,2.9889121055603027,2700,120,high_five.py
